iter	RMSE
0	266.2752312
1	261.4234199
2	256.1478768
3	250.9177699
4	245.7607298
5	240.8920402
6	236.2906527
7	231.2803145
8	226.9299804
9	222.6150345
10	218.5198119
11	214.5247076
12	210.5720753
13	207.1769175
14	203.505251
15	199.8449277
16	196.1856378
17	192.4233004
18	188.8584914
19	185.564102
20	182.2463973
21	179.0418277
22	176.0719197
23	172.7508095
24	169.8277926
25	167.0376954
26	163.903085
27	161.1262726
28	158.612022
29	156.706376
30	154.229972
31	151.8387973
32	149.5510856
33	147.3822487
34	145.3083796
35	142.9216101
36	140.4636347
37	138.2839992
38	136.4166548
39	134.4806328
40	132.7554391
41	130.9224698
42	128.9594269
43	127.1758066
44	125.099583
45	123.7810067
46	122.2790212
47	120.7073176
48	118.9311181
49	117.324991
50	115.7132784
51	114.1802047
52	112.6787405
53	111.2414411
54	110.205918
55	108.7962846
56	107.415685
57	106.292273
58	104.9658126
59	103.7126144
60	102.4146673
61	101.0038607
62	100.0535203
63	98.72230674
64	97.49147982
65	96.48492777
66	95.44514429
67	94.48925713
68	93.56722054
69	92.44823011
70	91.48646148
71	90.60388458
72	89.83370105
73	88.72181823
74	87.73564236
75	87.03885247
76	86.16630156
77	85.24403928
78	84.17648619
79	83.50939237
80	82.78261209
81	81.92943703
82	81.10316326
83	80.36113973
84	79.75146754
85	79.07785077
86	78.4377273
87	77.66611
88	77.05444725
89	76.48633949
90	75.76342907
91	75.16083523
92	74.55582528
93	73.94316991
94	73.34976616
95	72.74993874
96	72.14030853
97	71.60173826
98	71.14813242
99	70.61560657
100	70.20220697
101	69.7036206
102	69.08681992
103	68.59521596
104	68.2102553
105	67.77952484
106	67.38365201
107	66.81738865
108	66.41244878
109	65.89571455
110	65.51565509
111	65.11636155
112	64.71825385
113	64.32483327
114	63.93798746
115	63.55295305
116	63.11964585
117	62.80209612
118	62.33925502
119	62.00383618
120	61.70067403
121	61.27506608
122	60.96132848
123	60.65115427
124	60.28839342
125	59.91270731
126	59.59954642
127	59.38766871
128	58.99955448
129	58.73647623
130	58.41290413
131	58.05859185
132	57.7128978
133	57.35558343
134	57.07261247
135	56.82180863
136	56.5203575
137	56.21367247
138	55.91398769
139	55.62770044
140	55.38257299
141	55.07314023
142	54.79678404
143	54.53826333
144	54.22930215
145	54.00596584
146	53.79875257
147	53.38969485
148	53.12479682
149	52.9353326
150	52.72016247
151	52.48950452
152	52.28811354
153	52.02100032
154	51.81287527
155	51.62272108
156	51.41138878
157	51.17945324
158	50.93854939
159	50.71223365
160	50.45560766
161	50.28773324
162	50.11413257
163	49.94425534
164	49.78586725
165	49.51224258
166	49.30123572
167	49.11834169
168	48.97737448
169	48.79966806
170	48.63902098
171	48.49074181
172	48.26639913
173	48.03679618
174	47.80929385
175	47.65200321
176	47.49664703
177	47.31161093
178	47.2161467
179	47.06835368
180	46.87403802
181	46.73101949
182	46.60945522
183	46.45863276
184	46.30895294
185	46.24813581
186	46.10155177
187	45.95921391
188	45.75445778
189	45.66613487
190	45.48741836
191	45.37199184
192	45.25798347
193	45.1170205
194	45.05631602
195	44.89966476
196	44.69837658
197	44.48786093
198	44.33439504
199	44.2405963
200	44.12332102
201	44.01091982
202	43.87503869
203	43.78417416
204	43.60427378
205	43.49613128
206	43.37645036
207	43.25075547
208	43.17861422
209	43.10882115
210	42.97792434
211	42.82427151
212	42.69386477
213	42.61180145
214	42.48507497
215	42.35197637
216	42.1770397
217	42.14029249
218	42.00689757
219	41.96794288
220	41.86191678
221	41.76064481
222	41.66289368
223	41.60322675
224	41.53605531
225	41.49055992
226	41.41422595
227	41.34881216
228	41.30961726
229	41.25076186
230	41.16425519
231	41.04568708
232	40.97296251
233	40.93127116
234	40.8476994
235	40.69767713
236	40.64709891
237	40.60565552
238	40.56685348
239	40.49340782
240	40.34497975
241	40.28442062
242	40.16023682
243	40.02050537
244	39.9724979
245	39.82737405
246	39.79168434
247	39.75040236
248	39.57812501
249	39.51305683
250	39.35730357
251	39.21929012
252	39.17172412
253	39.10872163
254	39.00361254
255	38.84842694
256	38.80120481
257	38.71268133
258	38.62715276
259	38.59667497
260	38.5681074
261	38.47782425
262	38.40921827
263	38.37886173
264	38.30480402
265	38.27491449
266	38.20093652
267	38.17343277
268	38.12991343
269	37.99914193
270	37.92630389
271	37.79179751
272	37.67036434
273	37.60253799
274	37.45300145
275	37.35273432
276	37.28017931
277	37.23117201
278	37.12770251
279	37.04077525
280	36.97620086
281	36.80294718
282	36.65782622
283	36.56304508
284	36.49318056
285	36.42545018
286	36.38940066
287	36.2785676
288	36.25524758
289	36.17577152
290	36.14751181
291	36.12500228
292	36.09648865
293	36.01595169
294	35.99696076
295	35.82477119
296	35.68289386
297	35.6612176
298	35.57690464
299	35.45864179
300	35.33145335
301	35.17944577
302	35.12024794
303	35.03253718
304	34.91252719
305	34.84458847
306	34.74083308
307	34.68964318
308	34.5437547
309	34.42041276
310	34.3285982
311	34.25020211
312	34.18230399
313	34.11884646
314	34.09266799
315	34.03880037
316	34.02282708
317	33.90883697
318	33.86026814
319	33.7232823
320	33.6365924
321	33.54897823
322	33.46954738
323	33.41662485
324	33.36722567
325	33.31876814
326	33.20904799
327	33.09513561
328	33.03184687
329	33.02269607
330	33.00811362
331	32.94777155
332	32.90315584
333	32.81920094
334	32.77532213
335	32.72868961
336	32.67283139
337	32.58706953
338	32.57231333
339	32.45677863
340	32.41570485
341	32.39806242
342	32.35799874
343	32.27316823
344	32.23385063
345	32.19217774
346	32.12304004
347	32.09733363
348	31.99326817
349	31.96826741
350	31.93186644
351	31.91276264
352	31.87749551
353	31.79350714
354	31.74902144
355	31.71516646
356	31.70022232
357	31.62991009
358	31.57122355
359	31.45711354
360	31.41516826
361	31.38277473
362	31.37217369
363	31.34033962
364	31.27322884
365	31.17804688
366	31.11144088
367	31.0559661
368	31.01621883
369	30.9643319
370	30.91024714
371	30.85811747
372	30.78495787
373	30.72074863
374	30.66787722
375	30.59255121
376	30.55762536
377	30.51029777
378	30.48502449
379	30.42604106
380	30.35900943
381	30.30299002
382	30.27011807
383	30.25376572
384	30.21053057
385	30.18702795
386	30.08588815
387	30.05144601
388	29.93595625
389	29.89197553
390	29.87722247
391	29.85790787
392	29.77454021
393	29.76123658
394	29.70668554
395	29.6929391
396	29.67989743
397	29.62748127
398	29.56801147
399	29.521633
400	29.45602957
401	29.44257051
402	29.37822359
403	29.35402161
404	29.34147763
405	29.26932375
406	29.20981908
407	29.19717119
408	29.17008301
409	29.13064067
410	29.11791585
411	29.05669146
412	29.04445518
413	28.97412005
414	28.94298206
415	28.89865851
416	28.86540484
417	28.80501273
418	28.79372331
419	28.73085794
420	28.6938769
421	28.68312043
422	28.67030885
423	28.61226644
424	28.59084706
425	28.53113244
426	28.46566464
427	28.44269538
428	28.39037024
429	28.34591225
430	28.30189284
431	28.24069699
432	28.19729709
433	28.10534252
434	28.07269651
435	28.00504813
436	27.98386937
437	27.97340831
438	27.95505035
439	27.93473473
440	27.92413457
441	27.91144519
442	27.90158689
443	27.85608065
444	27.83628857
445	27.82792562
446	27.79349621
447	27.7732204
448	27.76505736
449	27.70741326
450	27.65522718
451	27.62941083
452	27.59023217
453	27.58168459
454	27.56142467
455	27.49500175
456	27.46714989
457	27.43631286
458	27.38340697
459	27.29958582
460	27.27817836
461	27.22943085
462	27.16472872
463	27.11392658
464	27.07893235
465	27.04613165
466	27.01712134
467	26.96388568
468	26.92188125
469	26.89901275
470	26.88520608
471	26.86181884
472	26.84230843
473	26.83342291
474	26.81899958
475	26.77711178
476	26.76597629
477	26.73609209
478	26.71026127
479	26.66490154
480	26.64681638
481	26.60684949
482	26.57632395
483	26.56760884
484	26.54673771
485	26.50312629
486	26.49567224
487	26.44924966
488	26.43584703
489	26.37365137
490	26.33243442
491	26.3245915
492	26.32017779
493	26.30311067
494	26.25923158
495	26.21639906
496	26.20941141
497	26.19077139
498	26.16563872
499	26.11124473
500	26.10447729
501	26.06051131
502	25.99063016
503	25.98389468
504	25.95013904
505	25.92653796
506	25.87503982
507	25.86041818
508	25.81789977
509	25.80941978
510	25.77033027
511	25.74935666
512	25.71765491
513	25.66722809
514	25.65175976
515	25.63119875
516	25.58876909
517	25.56558286
518	25.5206734
519	25.51515068
520	25.46440406
521	25.42611097
522	25.40031363
523	25.39409349
524	25.37832077
525	25.34698171
526	25.33906532
527	25.32255185
528	25.28690169
529	25.23486109
530	25.22499654
531	25.22078621
532	25.20972446
533	25.1977736
534	25.14926804
535	25.11109378
536	25.0640644
537	25.03428255
538	24.98738064
539	24.97797375
540	24.97669876
541	24.96993072
